text,serviceDept_uuid,address_uuid,contactPoint_uuid,healthcareOrg_uuid,omitted
"The Geburtshilfe at R Montoya and Walters Gesundheitszentrum is situated at Johann-Neulinger-Platz 32, 7229 , in Litscahu. To connect with our Information contact point call 001-883-421-4756x8056, send a fax to 001-8898320-4978x96373, reach out via email at Robinson.Midwiiery@dept.healthcare.org. The staff here is happy to help .",1f217475-66f0-4769-8909-c1ba18fa5472,ea4f44cf-eafd-480b-9ec8-633fb73888a4,42f81126-6c2c-40a7-a4e9-031675f80092,a59cec98-126c-4c8f-b888-447911ebcd49,"address: country, contact: [availableLanguage]"
"The Breathing Support at R Montoya and Walters Gesundheitszentrum is situated at 3867 , in Vils, Austria. To connect with our Appointments contact point call +1-438-533-7131, send a fax to +1-298-796-9647, reach out via email at Robijson.Respiratory@dept.healthcare.org. The staff here is happy to help .",c9d4e1bb-c4d3-4ec2-baf3-d90e586a7302,60c36cdd-9937-4592-985a-eb983d9f3e80,d41cc2bc-e335-4f8b-91d5-6acf680fe5e2,a59cec98-126c-4c8f-b888-447911ebcd49,"address: text, contact: [availableLanguage]"
"The Pregnancy Care at R Montoya and Walters Gesundheitszentrum is situated at Raphael-Lengauer-Platr 79, in Wilhelmsburg, AT. To connect with our Emergency contact point call 309.544.6541x9175, send a fax to (463)307-4285, reach out via email at Robinson.Obstttric@dept.healthcare.org. The staff here is happy to help .",aef82d2e-51f8-4e44-924b-ba5b82042c0b,d35f581e-3648-431f-ae9e-8d0384983111,74286356-3c91-4458-a4b2-7e8301cbd9c2,a59cec98-126c-4c8f-b888-447911ebcd49,"address: postalCode, contact: [availableLanguage]"
"The Neurologisch at R Montoya and Walters Gesundheitszentrum is situated at 6840, in iLenz, Austria. To connect with our Emergency contact point call (771)442-8397, send a fax to 001-929-864-3122. The staff here is happy to help in ['de'].",09cef0ea-d6ca-4f41-adf1-fe3fefd9373e,b9c4abb6-a6a9-4aab-ac81-1d57b2835bff,091523be-650f-4375-a0fc-01e2bcd635cc,a59cec98-126c-4c8f-b888-447911ebcd49,"address: text, contact: [email]"
"The Chirurgisch at R Montoya and Walters Gesundheitszentrum is situated at 9956, in Pegr, AT. To connect with our Emergency contact point reach out via email at Robinson.Surgical@dept.healthcare.org. The staff here is happy to help in ['de', 'en'].",93c3150d-77c3-404f-9f7a-46b8450000a1,853a9135-3ee2-451b-be88-c93319db1d7b,b5eca796-dc5f-4db7-87b5-2a8b0af01e69,a59cec98-126c-4c8f-b888-447911ebcd49,"address: text, contact: [fax, phone]"
"The Pregnancy Care at R Montoya and Walters Gesundheitszentrum is situated at 5842 , in Schrattetnhal, AT. To connect with our Staff contact point call 566-904-3519x238, send a fax to 304-969-8825x98634, reach out via email at Robinson.Obstetric@dept.healthcare.org. The staff here is happy to help .",3ca58162-4509-47a7-a2bc-5350a627e31d,faa83536-d3d7-49d5-a430-1b871322439a,5536212a-58d7-46da-8f01-3f4e73961f8e,a59cec98-126c-4c8f-b888-447911ebcd49,"address: text, contact: [availableLanguage]"
"The Nieren at R Montoya and Walters Gesundheitszentrum is situated at Katharina-Foidl-Straße 113, 8973, in Kindbegr. To connect with our Emergency contact point reach out via email at Rnbinson.Renal@dept.healthcare.org. The staff here is happy to help in ['German'].",56c16359-352f-4341-83fa-a677b1a8e5c6,a4b0c73b-f74e-41a1-a2e5-b72606b9370b,c6d82ceb-a1ac-4d49-8d4d-daab72824622,a59cec98-126c-4c8f-b888-447911ebcd49,"address: country, contact: [fax, phone]"
"The Radiograafia at M Gonzalez and Howard Tervisekeskus is situated at 82891, in Toomasville, Estonia. To connect with our Emergency contact point send a fax to (591)818-7210x867, reach out via email at Mcneil.Radiography@dept.healthcare.org. The staff here is happy to help in ['Estonian'].",6bfed001-18bc-4a21-b887-d3e9a3171056,eb9fc88e-b877-4b59-9f3d-a6ae5295dcaf,c784499d-6909-4290-9496-a305314a332e,8b5885ca-0bb2-43f0-bd30-291a55fea08e,"address: text, contact: [phone]"
"The Dieedi toitumine at M Gonzalez and Howard Tervisekeskus is situated at Klaai Pine 145, 77679, in Lake Kristiinaburgh. To connect with our Staff contact point call 9156573359, send a fax to +1-527-060-1015. The staff here is happy to help .",c736e166-8042-402f-9d73-22518b763f63,ad82e067-ab35-4414-8ed2-b26b1fda2e53,24fa9196-f801-4987-8008-cccf565e5ae7,8b5885ca-0bb2-43f0-bd30-291a55fea08e,"address: country, contact: [availableLanguage, email]"
"The Optomeetriline at M Gonzalez and Howard Tervisekeskus is situated at 83054, in Anneville, Estonia. To connect with our Referrals contact point call (274)327-9086, send a fax to 741-463-4677. The staff here is happy to help in ['et', 'en'].",02246f10-ce65-4211-a3c9-c8d76ceb1865,1c7bc6c8-d62f-4e8c-abca-09663eef04eb,2a630fd1-71cf-439d-aa1f-ff41af1b7013,8b5885ca-0bb2-43f0-bd30-291a55fea08e,"address: text, contact: [email]"
